Rank (Likability),Words,Likability scores
1,sincere,573
2,honest,555
3,understanding,549
4,loyal,547
5,truthful,545
6,trustworthy,539
7,intelligent,537
8,dependable,536
9,open-minded,530
10,thoughtful,529
11,wise,528
12,considerate,527
13,good-natured,527
14,reliable,527
15,mature,522
16,warm,522
17,earnest,521
18,kind,520
19,friendly,519
20,kind-hearted,514
21,happy,514
22,clean,514
23,interesting,511
24,unselfish,510
25,good-humored,507
26,honorable,507
27,humorous,505
28,responsible,505
29,cheerful,504
30,trustful,504
31,warm-hearted,504
32,broad-minded,503
33,gentle,503
34,well-spoken,501
35,educated,500
36,reasonable,500
37,companionable,499
38,likable,497
39,trusting,497
40,clever,496
41,pleasant,495
42,courteous,494
43,quick-witted,494
44,tactful,494
45,helpful,492
46,appreciative,492
47,imaginative,492
48,outstanding,492
49,self -disciplined,491
50,brilliant,490
51,enthusiastic,489
52,level-headed,489
53,polite,489
54,original,488
55,smart,488
56,forgiving,486
57,sharp-witted,486
58,well-read,486
59,ambitious,484
60,bright,483
61,respectful,483
62,efficient,482
63,good-tempered,482
64,grateful,482
65,conscientious,481
66,resourceful,481
67,alert,480
68,good,480
69,witty,480
70,clear-headed,479
71,kindly,479
72,admirable,478
73,patient,478
74,talented,478
75,perceptive,477
76,spirited,477
77,sportsmanlike,477
78,well-mannered,477
79,cooperative,476
80,ethical,476
81,intellectual,476
82,versatile,474
83,capable,471
84,courageous,471
85,constructive,468
86,productive,468
87,progressive,468
88,individualistic,467
89,observant,467
90,ingenious,466
91,lively,466
92,neat,466
93,punctual,466
94,logical,465
95,prompt,465
96,accurate,464
97,sensible,464
98,creative,462
99,self-reliant,462
100,tolerant,461
101,amusing,460
102,clean-cut,460
103,generous,459
104,sympathetic,459
105,energetic,457
106,high-spirited,457
107,self -controlled,456
108,tender,456
109,active,455
110,independent,455
111,respectable,455
112,inventive,453
113,wholesome,453
114,congenial,452
115,cordial,452
116,experienced,451
117,attentive,450
118,cultured,450
119,frank,450
120,purposeful,450
121,decent,449
122,diligent,449
123,realist,449
124,eager,448
125,poised,448
126,competent,447
127,realistic,447
128,amiable,446
129,optimistic,443
130,vigorous,443
131,entertaining,442
132,adventurous,441
133,vivacious,440
134,composed,439
135,relaxed,439
136,romantic,439
137,proficient,438
138,rational,438
139,skillful,438
140,enterprising,437
141,gracious,437
142,able,436
143,nice,436
144,agreeable,434
145,skilled,433
146,curious,432
147,modern,432
148,charming,430
149,sociable,429
150,modest,428
151,decisive,427
152,humble,427
153,tidy,427
154,popular,426
155,upright,426
156,literary,425
157,practical,425
158,light-hearted,424
159,well-bred,423
160,refined,422
161,self-confident,421
162,cool-headed,420
163,studious,418
164,venturesome,417
165,discreet,416
166,informal,416
167,thorough,416
168,exuberant,414
169,inquisitive,413
170,easygoing,412
171,outgoing,412
172,self-sufficient,412
173,casual,411
174,consistent,411
175,moral,411
176,self-assured,411
177,untiring,410
178,hopeful,406
179,calm,406
180,strong-minded,404
181,positive,403
182,confident,401
183,artistic,400
184,precise,400
185,scientific,400
186,orderly,399
187,social,398
188,direct,396
189,careful,390
190,candid,389
191,comical,389
192,obliging,389
193,self-critical,389
194,fashionable,387
195,religious,387
196,soft-hearted,387
197,dignified,386
198,philosophical,386
199,idealistic,384
200,soft-spoken,380
201,disciplined,379
202,serious,379
203,definite,375
204,convincing,374
205,persuasive,374
206,obedient,373
207,quick,373
208,sophisticated,372
209,thrifty,372
210,sentimental,371
211,objective,370
212,nonconforming,369
213,righteous,369
214,mathematical,367
215,meditative,366
216,fearless,366
217,systematic,366
218,subtle,365
219,normal,362
220,daring,360
221,middleclass,360
222,lucky,358
223,proud,358
224,sensitive,358
225,moralistic,357
226,talkative,352
227,excited,351
228,moderate,351
229,satirical,351
230,prudent,348
231,reserved,348
232,persistent,347
233,meticulous,346
234,unconventional,346
235,deliberate,345
236,painstaking,345
237,bold,336
238,suave,335
239,cautious,334
240,innocent,332
241,inoffensive,332
242,shrewd,328
243,methodical,325
244,nonchalant,324
245,self-contented,324
246,perfectionistic,322
247,forward,318
248,excitable,317
249,outspoken,313
250,prideful,313
251,quiet,311
252,impulsive,307
253,aggressive,304
254,changeable,297
255,conservative,295
256,shy,291
257,hesitant,290
258,unpredictable,290
259,solemn,289
260,blunt,287
261,self-righteous,287
262,average,284
263,discriminating,283
264,emotional,283
265,unlucky,280
266,bashful,279
267,self -concerned,279
268,authoritative,274
269,lonesome,274
270,restless,274
271,choosy,272
272,self-possesssed,272
273,naive,270
274,opportunist,270
275,theatrical,269
276,unsophisticated,267
277,impressionable,266
278,ordinary,266
279,strict,266
280,skeptical,264
281,extravagant,263
282,forceful,263
283,cunning,262
284,inexperienced,262
285,unmethodical,262
286,daredevil,261
287,wordy,261
288,daydreamer,260
289,conventional,260
290,materialistic,260
291,self-satisfied,260
292,rebellious,258
293,eccentric,257
294,opinionated,257
295,stern,257
296,lonely,256
297,dependent,254
298,unsystematic,253
299,self-conscious,249
300,undecided,249
301,resigned,248
302,clownish,247
303,anxious,246
304,conforming,246
305,critical,243
306,conformist,241
307,radical,241
308,dissatisfied,239
309,old-fashioned,239
310,meek,238
311,frivolous,237
312,discontented,237
313,troubled,235
314,irreligious,234
315,overcautious,229
316,silent,228
317,tough,228
318,ungraceful,228
319,argumentative,227
320,withdrawing,227
321,uninquisitive,225
322,forgetful,224
323,inhibited,224
324,unskilled,224
325,crafty,223
326,passive,223
327,immodest,222
328,unpopular,222
329,timid,222
330,spendthrift,221
331,temperamental,221
332,gullible,219
333,indecisive,219
334,silly,219
335,submissive,219
336,unstudious,218
337,preoccupied,216
338,tense,215
339,fearful,214
340,unromantic,214
341,absent-minded,213
342,impractical,213
343,withdrawn,213
344,unadvcnturous,212
345,sarcastic,210
346,sad,209
347,unemotional,209
348,worrying,209
349,high-strung,208
350,unoriginal,207
351,unpoised,206
352,compulsive,205
353,worrier,205
354,demanding,203
355,unhappy,203
356,indifferent,202
357,uncultured,201
358,clumsy,199
359,insecure,198
360,unentertaining,198
361,imitative,198
362,melancholy,198
363,mediocre,197
364,obstinate,197
365,unhealthy,197
366,headstrong,196
367,nervous,196
368,nonconfident,196
369,stubborn,196
370,unimaginative,195
371,down-hearted,194
372,unobservant,194
373,inconsistent,193
374,unpunctual,192
375,unindustrious,191
376,disturbed,189
377,superstitious,189
378,frustrated,188
379,illogical,186
380,rash,186
381,unenthusiastic,186
382,inaccurate,185
383,noninquisitive,184
384,unagreeable,184
385,jumpy,183
386,possessive,183
387,purposeless,183
388,moody,182
389,unenterprising,180
390,unintellectual,180
391,unwise,180
392,oversensitive,179
393,inefficient,178
394,reckless,178
395,pompous,177
396,uncongenial,175
397,untidy,175
398,unaccomodating,174
399,noisy,173
400,squeamish,172
401,cynical,171
402,angry,169
403,listless,169
404,uninspiring,169
405,unintelligent,168
406,domineering,167
407,scolding,166
408,depressed,166
409,unobliging,165
410,pessimistic,164
411,unattentive,164
412,boisterous,163
413,suspicious,163
414,inattentive,162
415,overconfident,162
416,smug,161
417,unsociable,161
418,unproductive,160
419,wasteful,160
420,fickle,159
421,neglectful,159
422,short-tempered,159
423,hot-headed,158
424,unsocial,158
425,envious,157
426,overcritical,157
427,scheming,156
428,sly,156
429,weak,155
430,foolhardy,154
431,immature,154
432,dominating,153
433,showy,153
434,sloppy,153
435,unsympathetic,153
436,uncompromising,153
437,hot-tempered,152
438,neurotic,152
439,unsporting,152
440,finicky,150
441,resentful,150
442,unruly,150
443,fault-finding,148
444,messy,147
445,misfit,147
446,uninteresting,146
447,scornful,145
448,antisocial,144
449,irritable,143
450,stingy,143
451,tactless,142
452,careless,140
453,foolish,140
454,troublesome,140
455,ungracious,140
456,negligent,139
457,wishy-washy,139
458,profane,137
459,gloomy,136
460,helpless,136
461,disagreeable,134
462,touchy,134
463,irrational,130
464,tiresome,130
465,disobedient,128
466,complaining,127
467,lifeless,127
468,vain,127
469,lazy,126
470,unappreciative,126
471,maladjusted,123
472,aimless,122
473,boastful,122
474,dull,121
475,gossipy,119
476,unappealing,119
477,hypochondriac,118
478,irritating,118
479,petty,118
480,shallow,118
481,deceptive,117
482,grouchy,117
483,egotistical,116
484,meddlesome,116
485,uncivil,116
486,cold,113
487,unsportsmanlike,113
488,bossy,112
489,unpleasing,112
490,cowardly,110
491,discourteous,110
492,incompetent,110
493,childish,109
494,superficial,109
495,ungrateful,109
496,self -conceited,108
497,hard-hearted,107
498,unfair,107
499,irresponsible,106
500,prejudiced,106
501,bragging,104
502,jealous,104
503,unpleasant,104
504,unreliable,104
505,impolite,103
506,crude,102
507,nosey,102
508,humorless,101
509,quarrelsome,101
510,abusive,100
511,distrustful,99
512,intolerant,98
513,unforgiving,98
514,boring,97
515,unethical,97
516,unreasonable,97
517,self -centered,96
518,snobbish,96
519,unkindly,96
520,ill-mannered,95
521,ill-tempered,95
522,unfriendly,92
523,hostile,91
524,dislikable,90
525,ultra-critical,90
526,offensive,88
527,belligerent,86
528,underhanded,86
529,annoying,84
530,disrespectful,83
531,loud-mouthed,83
532,selfish,82
533,narrow-minded,80
534,vulgar,79
535,heartless,78
536,insolent,78
537,thoughtless,77
538,rude,76
539,conceited,74
540,greedy,72
541,spiteful,72
542,insulting,69
543,insincere,66
544,unkind,66
545,untrustworthy,65
546,deceitful,62
547,dishonorable,52
548,malicious,52
549,obnoxious,48
550,untruthful,43
551,dishonest,41
552,cruel,40
553,mean,37
554,phony,27
555,liar,26